week,item_id,ligand,classification,reason,train_pdb,train_het,train_identity,train_align_rmsd,train_shape_overlap,has_correct_pose,nearest_score,nearest_classification,nearest_choice_id,pocket_aware_score,pocket_aware_classification,pocket_aware_choice_id,rnp_exact_score,rnp_exact_classification,rnp_exact_train_pdb,rnp_exact_train_het,rnp_blind_score,rnp_blind_classification,rnp_blind_choice_id,rnp_blind_train_pdb,rnp_blind_train_het,training_system_overlay_status,training_system_overlay_unavailable_reason,training_system_overlay
2026-08-08,9PVB,CAP,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,0.0,novel,choice_e4b3de513cf94a3f,0.6339,familiar,choice_2a22e22cab1bcc07,,novel,,,,unknown,,,,not-applicable,,
2026-08-08,9PVC,CAP,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,True,0.0,novel,choice_efeb10ba14dfbc8f,0.6855,familiar,choice_efeb10ba14dfbc8f,,novel,,,,unknown,,,,not-applicable,,
2026-08-08,9PXR,A1AE5,novel,training-ligand-overlap-below-0.25,7BSJ,TTN,0.551,1.334,0.222,False,0.0,novel,choice_f5bf7e0770509672,0.2265,novel,choice_37a1f39d0f77e0a6,0.2103766142004539,novel,1O0S,NAI,0.34660976046903896,familiar,choice_f5bf7e0770509672,1O0S,NAI,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/d7/d7a4a1dae942e3095c48d3d61fe96ff5115e5553793bd85bd8d7aab4861099c7', 'sha256': 'd7a4a1dae942e3095c48d3d61fe96ff5115e5553793bd85bd8d7aab4861099c7', 'size_bytes': 708669, 'media_type': 'chemical/x-pdb'}"
2026-08-08,9RN5,A1JR3,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,0.4978,familiar,choice_672ee5a173dffb90,0.4978,familiar,choice_672ee5a173dffb90,,novel,,,0.527093140667569,familiar,choice_f92e40a17dcf2cc2,6YYF,3IS,not-applicable,,
2026-08-08,9S2W,A1JCV,familiar,training-ligand-overlap-at-least-0.25,6BZC,G6P,0.528,0.192,0.7797,True,0.6942,familiar,choice_f557f9def87bd183,0.7265,familiar,choice_50164a88456071db,0.7940349344063579,familiar,6BZC,G6P,,unknown,,,,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/c2/c22b5fdac42652f7184a1b77d5a1df38811087a51dde78123c590bace21fa1db', 'sha256': 'c22b5fdac42652f7184a1b77d5a1df38811087a51dde78123c590bace21fa1db', 'size_bytes': 1416285, 'media_type': 'chemical/x-pdb'}"
2026-08-08,9S40,A1JLM,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,,unknown,,,unknown,,,novel,,,,unknown,,,,not-applicable,,
2026-08-08,9S4A,GJL,familiar,training-ligand-overlap-at-least-0.25,6J63,NTD,0.942,0.379,0.51,True,0.0,novel,choice_df2344f561646ed6,0.5837,familiar,choice_cae60d053bbd68cb,0.6614694593233452,familiar,6ISD,5BQ,0.6714873668231016,familiar,choice_cae60d053bbd68cb,6ISD,5BQ,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/c5/c5cb71dedbebded4b4f031667498cd1c5bc11e4bf801d874d9cfb6bf529bd03f', 'sha256': 'c5cb71dedbebded4b4f031667498cd1c5bc11e4bf801d874d9cfb6bf529bd03f', 'size_bytes': 898047, 'media_type': 'chemical/x-pdb'}"
2026-08-08,9S56,CPS,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,0.1443,novel,choice_a2a149fee70cd88a,0.1443,novel,choice_a2a149fee70cd88a,,novel,,,,unknown,,,,not-applicable,,
2026-08-08,9S6X,A1JL6,familiar,training-ligand-overlap-at-least-0.25,6AXV,1B0,0.985,0.279,0.579,False,0.4404,familiar,choice_84ec346f4fb653d5,0.4404,familiar,choice_84ec346f4fb653d5,0.5773475153511374,familiar,6AXV,1B0,0.3667658376280797,familiar,choice_cc25b5bb295a620b,6AXV,1B0,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/3d/3da1f7276d2bf7d8fdb4537ced5eaa348395af1e028285a9aed92f3ad29b4f34', 'sha256': '3da1f7276d2bf7d8fdb4537ced5eaa348395af1e028285a9aed92f3ad29b4f34', 'size_bytes': 274428, 'media_type': 'chemical/x-pdb'}"
2026-08-08,9SME,A1JOZ,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,True,0.6129,familiar,choice_bddb83e6ed7c796d,0.7393,familiar,choice_bddb83e6ed7c796d,,novel,,,,unknown,,,,not-applicable,,
2026-08-08,9SVZ,R06,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,0.0,novel,choice_f653e8d7ab967844,0.0,novel,choice_f653e8d7ab967844,,unknown,,,,unknown,,,,not-applicable,,
2026-08-08,9TDQ,A1JVJ,novel,training-ligand-overlap-below-0.25,6FX7,AR6,0.214,0.996,0.2108,False,0.0,novel,choice_f582d79baa092332,0.3621,familiar,choice_51068d4666d753c0,0.0,novel,6W91,TJP,0.004138447699897835,novel,choice_8318cff146f6d8b1,4GVW,ACY,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/51/511824960fcd8b284e9a9ccdc24adddf9eefb9b19db5aacd7d0c51a0f6406bb8', 'sha256': '511824960fcd8b284e9a9ccdc24adddf9eefb9b19db5aacd7d0c51a0f6406bb8', 'size_bytes': 247212, 'media_type': 'chemical/x-pdb'}"
2026-08-08,9W6Z,A1EVR,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,,unknown,,,unknown,,,novel,,,,unknown,,,,not-applicable,,
2026-08-08,9W7Y,A1EVK,familiar,training-ligand-overlap-at-least-0.25,3ME3,3SZ,0.646,0.657,0.5175,True,0.0,novel,choice_e2b41fef19cfdaaa,0.5571,familiar,choice_b221de136bc94cb0,0.46596447185589784,familiar,3ME3,3SZ,0.0,novel,choice_e2b41fef19cfdaaa,4IMA,ADN,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/f3/f380cc0da0a37b09c7c4f7619de819446f9a707c72cc87f6d9b1d44936b70433', 'sha256': 'f380cc0da0a37b09c7c4f7619de819446f9a707c72cc87f6d9b1d44936b70433', 'size_bytes': 1231524, 'media_type': 'chemical/x-pdb'}"
2026-08-08,9WY2,A1MCD,familiar,training-ligand-overlap-at-least-0.25,6ST3,LUW,0.967,2.969,0.4375,False,0.2577,familiar,choice_4156db208865ad25,0.5473,familiar,choice_a6f959aa0cbf6e0f,0.7778214931591496,familiar,6ST3,LUW,0.6492212457817609,familiar,choice_deeda6c65b41f2d9,6ST3,LUW,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/a1/a14da6a6d94e623f0f2a7dde72dc2083eb7b25db78ab884ccdddac8a35812b87', 'sha256': 'a14da6a6d94e623f0f2a7dde72dc2083eb7b25db78ab884ccdddac8a35812b87', 'size_bytes': 763425, 'media_type': 'chemical/x-pdb'}"
2026-08-08,9XS7,RHN,familiar,training-ligand-overlap-at-least-0.25,3KCX,CQL,0.991,0.27,0.385,True,0.3224,familiar,choice_1b09fc049677bb11,0.4194,familiar,choice_b86ca423e53627f4,0.44176606621294157,familiar,5OP6,A0W,,unknown,,,,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/ee/ee4d92921ee731ec033c42a8e4e716bb2480c25043b8b0ca4bcc4bc443c3b3db', 'sha256': 'ee4d92921ee731ec033c42a8e4e716bb2480c25043b8b0ca4bcc4bc443c3b3db', 'size_bytes': 219753, 'media_type': 'chemical/x-pdb'}"
2026-08-08,9ZRB,AR6,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,True,0.0,novel,choice_e46e8841f70a3b1d,0.7426,familiar,choice_34693e27fdf28a11,,unknown,,,,unknown,,,,not-applicable,,
2026-08-08,9ZRD,AR6,familiar,training-ligand-overlap-at-least-0.25,6R0G,APR,0.535,0.474,0.7297,True,0.7428,familiar,choice_37ef9860ce49a7ad,0.7428,familiar,choice_37ef9860ce49a7ad,,unknown,,,,unknown,,,,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/9c/9c2988cdea60394c81d8c21178081508ec3f771d13b0631777ce5b26c3d4800b', 'sha256': '9c2988cdea60394c81d8c21178081508ec3f771d13b0631777ce5b26c3d4800b', 'size_bytes': 198369, 'media_type': 'chemical/x-pdb'}"
2026-08-08,9ZTB,SVR,novel,training-ligand-overlap-below-0.25,3Q6Z,APR,0.238,2.133,0.1925,False,0.2396,novel,choice_1b3ab937162b103a,0.2421,novel,choice_c8135eba9b5c19c8,0.0,novel,6W91,TJP,,unknown,,,,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/12/12a01915d2236eb8c77d0a3b2664979dbf5c447b929d7e6963bdb73273072f93', 'sha256': '12a01915d2236eb8c77d0a3b2664979dbf5c447b929d7e6963bdb73273072f93', 'size_bytes': 118665, 'media_type': 'chemical/x-pdb'}"
2026-08-15,10RY,A1C8O,familiar,training-ligand-overlap-at-least-0.25,3NZK,C90,0.592,0.641,0.4844,False,0.4152,familiar,choice_9c0c4903e97eea9b,0.58,familiar,choice_22cb2db21fd196a3,0.3936942251503271,familiar,6MO5,JWP,0.4317240247699907,familiar,choice_43ae1ae6d584c35d,7DEL,H4L,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/76/762bb7a7b0d4a8c1fa6415b422aca8cbdbb325794b6789081f12c78922f79c07', 'sha256': '762bb7a7b0d4a8c1fa6415b422aca8cbdbb325794b6789081f12c78922f79c07', 'size_bytes': 390420, 'media_type': 'chemical/x-pdb'}"
2026-08-15,12WB,K36,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,True,0.0,novel,choice_e93784ea31b56884,0.0,novel,choice_e93784ea31b56884,,unknown,,,,unknown,,,,not-applicable,,
2026-08-15,22VH,CYC,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,True,0.6893,familiar,choice_a0082a54c3296737,0.755,familiar,choice_a0082a54c3296737,,novel,,,,unknown,,,,not-applicable,,
2026-08-15,29CT,A1JTS,familiar,training-ligand-overlap-at-least-0.25,4DCD,K36,0.666,0.741,0.4727,True,0.4342,familiar,choice_317ed870d289fb3d,0.4773,familiar,choice_317ed870d289fb3d,0.4643960528011449,familiar,3ZZ6,G75,0.5535687293832436,familiar,choice_90f7dac3d51d62f6,5BPE,E22,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/3f/3f3704e0bbc264089f186b00a35eb92856205905b9c4e7973afd80f2659773e4', 'sha256': '3f3704e0bbc264089f186b00a35eb92856205905b9c4e7973afd80f2659773e4', 'size_bytes': 226557, 'media_type': 'chemical/x-pdb'}"
2026-08-15,31ZN,A1KC9,novel,confirmed-empty-pre-cutoff-foldseek-result,,,,,,True,,unknown,,,unknown,,,novel,,,,unknown,,,,not-applicable,,
2026-08-15,32QB,ERG,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,0.0,novel,choice_d1f66733d242a240,0.0,novel,choice_d1f66733d242a240,,novel,,,0.0,novel,choice_b110542000f5d9b9,7LDD,XVD,not-applicable,,
2026-08-15,32YY,IHP,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,0.0,novel,choice_e487c0572dcd01dd,0.0,novel,choice_e487c0572dcd01dd,,novel,,,,unknown,,,,not-applicable,,
2026-08-15,36JE,A1DLP,familiar,training-ligand-overlap-at-least-0.25,6U6A,Q0J,1.0,0.953,0.6812,True,0.7101,familiar,choice_8d2e8187fa5ca81a,0.7101,familiar,choice_8d2e8187fa5ca81a,0.7457715317257775,familiar,6U6A,Q0J,0.7109702850707155,familiar,choice_a1f3bf9c1aaf41d1,6U6A,Q0J,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/2e/2e7a802e16122aeacaec6d2bae8743765334da08b57c547d1bdf2160e167389d', 'sha256': '2e7a802e16122aeacaec6d2bae8743765334da08b57c547d1bdf2160e167389d', 'size_bytes': 402165, 'media_type': 'chemical/x-pdb'}"
2026-08-15,36OQ,A1DK1,familiar,training-ligand-overlap-at-least-0.25,6MGO,JQV,0.991,0.264,0.4624,True,0.2933,familiar,choice_101c353f4c4bee8f,0.2933,familiar,choice_101c353f4c4bee8f,0.3240551608400261,familiar,2Q36,KAB,0.5495187686561822,familiar,choice_ad7ddb157d8b0115,2Q36,KAB,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/8e/8ead6725a702000233e08a51e266d0eecd810213d6d7f2404e1e90f99778b479', 'sha256': '8ead6725a702000233e08a51e266d0eecd810213d6d7f2404e1e90f99778b479', 'size_bytes': 233037, 'media_type': 'chemical/x-pdb'}"
2026-08-15,44HP,BHF,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,0.0,novel,choice_e3d3ada492fafc4b,0.2909,familiar,choice_54ca2854a2b2409a,,novel,,,0.44989604977986347,familiar,choice_278af22391b06dcb,6CZW,FO7,not-applicable,,
2026-08-15,44ID,BHF,familiar,training-ligand-overlap-at-least-0.25,6E3U,HNJ,0.281,1.188,0.4094,False,0.3377,familiar,choice_d1e905485961100e,0.3377,familiar,choice_d1e905485961100e,0.480260124536295,familiar,6E3U,HNJ,0.45789057066246763,familiar,choice_ae1c39f818d9b26f,6E3S,79A,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/51/51b57baa60765b4f5add8409bf90d5bff6956ebd01f888d1880df8398d914022', 'sha256': '51b57baa60765b4f5add8409bf90d5bff6956ebd01f888d1880df8398d914022', 'size_bytes': 722115, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9I85,,unknown,TrainingSimilarityError,,,,,,,0.3613,familiar,choice_55f1d12587e7f17a,0.5517,familiar,choice_ee62a5f182ac535a,,,,,,unknown,,,,,,
2026-08-15,9Q3L,P0G,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,True,0.4351,familiar,choice_3da432f46a5b0063,0.7565,familiar,choice_f66721ac0689182c,,novel,,,0.867306803902178,familiar,choice_f6381b9aaedf3968,3P0G,P0G,not-applicable,,
2026-08-15,9Q3Z,RPI,novel,training-ligand-overlap-below-0.25,3WDE,MLE,0.993,0.297,0.0,False,0.0,novel,choice_ed22614b13cb9261,0.379,familiar,choice_3a329aadab9fe9ed,0.0,novel,2Y1R,SRT,,unknown,,,,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/90/909d13c6fd96becea13c2d3db391fdc9666eb17aeda2f9da3793fa3089d3c106', 'sha256': '909d13c6fd96becea13c2d3db391fdc9666eb17aeda2f9da3793fa3089d3c106', 'size_bytes': 215217, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9S7M,A1JMD,familiar,training-ligand-overlap-at-least-0.25,6AXV,1B0,0.985,0.3,0.5467,False,0.4453,familiar,choice_ab9da822f87a3439,0.4453,familiar,choice_ab9da822f87a3439,0.6051308283764376,familiar,6AXV,1B0,0.3631109480633793,familiar,choice_43751012193516d1,6AXV,1B0,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/a7/a780e0e78e6f2966b30f569fe5d8b45c1492b3bfb2b1a9a7f689f8f88137d2f4', 'sha256': 'a780e0e78e6f2966b30f569fe5d8b45c1492b3bfb2b1a9a7f689f8f88137d2f4', 'size_bytes': 274428, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9S7U,A1JML,familiar,training-ligand-overlap-at-least-0.25,6SGP,LDK,0.992,0.19,0.6162,True,0.3631,familiar,choice_1662b1ca0123d83e,0.5815,familiar,choice_5aee4424ef750080,0.6805018637415903,familiar,6S1X,KRZ,,unknown,,,,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/3a/3a002e636ecb149f342253410cc45967a25b4a673be5addc1ef259bb7b789a94', 'sha256': '3a002e636ecb149f342253410cc45967a25b4a673be5addc1ef259bb7b789a94', 'size_bytes': 475065, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9S94,3MI,familiar,training-ligand-overlap-at-least-0.25,5CR1,STL,0.982,0.157,0.5938,False,0.7293,familiar,choice_5b39ed1622b0d7e9,0.7293,familiar,choice_5b39ed1622b0d7e9,0.5282825814794628,familiar,6TXV,TCW,,unknown,,,,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/60/6072edefdb3f904b9611ce660f99cb68a9d3e4cefcaef96a134baef225de8254', 'sha256': '6072edefdb3f904b9611ce660f99cb68a9d3e4cefcaef96a134baef225de8254', 'size_bytes': 434241, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9S95,3MI,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,True,0.6931,familiar,choice_9891845a0af86aa7,0.6931,familiar,choice_9891845a0af86aa7,,novel,,,,unknown,,,,not-applicable,,
2026-08-15,9SAU,A1JR2,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,,unknown,,,unknown,,,novel,,,,unknown,,,,not-applicable,,
2026-08-15,9SSN,A1JQX,familiar,training-ligand-overlap-at-least-0.25,2QIQ,CYV,0.956,0.442,0.3014,True,0.0,novel,choice_ff29fb5df740a9a9,0.0,novel,choice_ff29fb5df740a9a9,0.34869476109630976,familiar,2QIQ,CYV,0.0,novel,choice_ff29fb5df740a9a9,6XB1,NEN,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/b5/b5c9e3e7e85a7022456d22fb8605bc09178c9b10813e083262fff5f6894b6d36', 'sha256': 'b5c9e3e7e85a7022456d22fb8605bc09178c9b10813e083262fff5f6894b6d36', 'size_bytes': 192861, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9T0U,A1JSU,familiar,training-ligand-overlap-at-least-0.25,6L24,E3U,0.871,0.588,0.4734,True,0.4067,familiar,choice_30109abe39e03b8a,0.4949,familiar,choice_30109abe39e03b8a,0.5178241129779153,familiar,6A1C,9NX,0.5405902500569975,familiar,choice_56c8e4e199977ec1,6A1C,9NX,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/a6/a65e3e9194fae4c0418d9c6f180ab46fc30777387438467ea42b19194b63f784', 'sha256': 'a65e3e9194fae4c0418d9c6f180ab46fc30777387438467ea42b19194b63f784', 'size_bytes': 232308, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9T52,A1JTT,familiar,training-ligand-overlap-at-least-0.25,2QIQ,CYV,0.956,0.779,0.3427,True,0.0,novel,choice_ed279f91c9f44b25,0.0,novel,choice_ed279f91c9f44b25,0.3690835182827151,familiar,2QIQ,CYV,0.0,novel,choice_ed279f91c9f44b25,7AOL,RQH,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/bd/bd2c1cf37b0476dd94f06e5cb1b465fc7ab14c59049d17d685df095cf19762cb', 'sha256': 'bd2c1cf37b0476dd94f06e5cb1b465fc7ab14c59049d17d685df095cf19762cb', 'size_bytes': 192861, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9T55,A1JTS,novel,training-ligand-overlap-below-0.25,7AOL,RQH,0.996,0.381,0.0,True,0.0,novel,choice_f00daf352c107548,0.0,novel,choice_f00daf352c107548,0.0,novel,7AOL,RQH,0.0,novel,choice_f00daf352c107548,6XB1,NEN,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/9f/9f4450105b84cc462c49be50f5cfadaf6dea3ba7fad5636911b25ea76bde1a69', 'sha256': '9f4450105b84cc462c49be50f5cfadaf6dea3ba7fad5636911b25ea76bde1a69', 'size_bytes': 402165, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9T5E,A1JTR,familiar,training-ligand-overlap-at-least-0.25,2QIQ,CYV,0.956,0.257,0.2503,False,0.0,novel,choice_f3eb6fcb4a2f5f8e,0.0,novel,choice_f3eb6fcb4a2f5f8e,0.3119046723920832,familiar,2QIQ,CYV,0.0,novel,choice_f3eb6fcb4a2f5f8e,6XB1,NEN,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/dc/dcae54c66c0025ecec7fb85fd3301608257824706a2d05b34944a2f523fb6f26', 'sha256': 'dcae54c66c0025ecec7fb85fd3301608257824706a2d05b34944a2f523fb6f26', 'size_bytes': 192861, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9WAV,A1EYZ,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,False,0.0,novel,choice_e1dec638b1ef0558,0.3476,familiar,choice_b0919f6d09b21ba4,,novel,,,0.28988118622411385,familiar,choice_d6ad4c68d4e6fc13,7M8O,YSM,not-applicable,,
2026-08-15,9WB2,A1EVS,novel,no-usable-pre-cutoff-ligand-pocket-analog,,,,,,True,0.0,novel,choice_f2cf4e16f845c3cb,0.4725,familiar,choice_bf16357ff0aeadf9,,novel,,,0.4538378710171076,familiar,choice_3218a91bab2b79e3,2QA6,KN2,not-applicable,,
2026-08-15,9WCG,A1EYZ,novel,training-ligand-overlap-below-0.25,7AOL,RQH,0.956,1.457,0.0,False,0.47,familiar,choice_43ec5ce15c2a45d8,0.47,familiar,choice_43ec5ce15c2a45d8,0.0,novel,7AOL,RQH,0.4475483218201474,familiar,choice_43ec5ce15c2a45d8,2QIQ,CYV,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/34/34faf4183c5ac8308d64e06a6d6ddfaefe10af9db859f71eb31d2316b7669ec4', 'sha256': '34faf4183c5ac8308d64e06a6d6ddfaefe10af9db859f71eb31d2316b7669ec4', 'size_bytes': 402165, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9XAM,A1EZH,familiar,training-ligand-overlap-at-least-0.25,6B0Y,8ZG,0.976,0.943,0.3717,True,0.3896,familiar,choice_569ab86a689bc2cf,0.4237,familiar,choice_49df98fbab2e3ca1,0.37672989617121494,familiar,6T5B,O7K,0.37896259106691665,familiar,choice_3caf67fc66bec988,6T5B,O7K,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/63/63e1ac80649fb9f74e185635efc80b58d5785a5e180a40e8959bc5c1d14f27b6', 'sha256': '63e1ac80649fb9f74e185635efc80b58d5785a5e180a40e8959bc5c1d14f27b6', 'size_bytes': 449793, 'media_type': 'chemical/x-pdb'}"
2026-08-15,9XBZ,A1EZK,familiar,training-ligand-overlap-at-least-0.25,6B0Y,8ZG,0.976,0.961,0.3777,True,0.3925,familiar,choice_3593a5b79cbfeee1,0.42,familiar,choice_9c0d01f7afb748c4,0.37684365249709895,familiar,6T5B,O7K,0.3816377227610333,familiar,choice_684bf08a0e4a672b,6T5B,O7K,available,,"{'object_uri': 'supabase://foldarium-weekly-quiz/sha256/63/633b691722b7e242b9fd5f111aa64a81439769feed8cb913bfdd5bfe9d6de851', 'sha256': '633b691722b7e242b9fd5f111aa64a81439769feed8cb913bfdd5bfe9d6de851', 'size_bytes': 449793, 'media_type': 'chemical/x-pdb'}"
